Jahr;Bundesland;Voranschlag/Rechnungsabschluss;Datenquelle;Gemeindekennziffer;Gemeindename;Haushalt;Ansatz-Uab;Ansatz-Ugl;Konto-Grp;Konto-Ugl;Vorhabencode;Mvag;Ansatz-Text;Konto-Text;Wert
2024;Niederösterreich;Rechnungsabschluss;Gemeinde;32135;"Tulln an der Donau";Finanzierungshaushalt;999;000;270;000;0000000;4110;"Nicht voranschlagswirksame Gebarung";"Vorsteuer - Evidenz";2825319,23
2024;Niederösterreich;Rechnungsabschluss;Gemeinde;32135;"Tulln an der Donau";Finanzierungshaushalt;999;000;270;000;0000000;4210;"Nicht voranschlagswirksame Gebarung";"Vorsteuer - Evidenz";2878345,26
2024;Niederösterreich;Rechnungsabschluss;Gemeinde;32135;"Tulln an der Donau";Finanzierungshaushalt;999;000;271;000;0000000;4110;"Nicht voranschlagswirksame Gebarung";"Umsatzsteuer Verrechnungskonto - Gutschrift";1311030,61
2024;Niederösterreich;Rechnungsabschluss;Gemeinde;32135;"Tulln an der Donau";Finanzierungshaushalt;999;000;271;000;0000000;4210;"Nicht voranschlagswirksame Gebarung";"Umsatzsteuer Verrechnungskonto - Gutschrift";1379876,57
2024;Niederösterreich;Rechnungsabschluss;Gemeinde;32135;"Tulln an der Donau";Finanzierungshaushalt;999;000;279;000;0000000;4110;"Nicht voranschlagswirksame Gebarung";"Diverse Vorschüsse an Fremde";5311156,81
2024;Niederösterreich;Rechnungsabschluss;Gemeinde;32135;"Tulln an der Donau";Finanzierungshaushalt;999;000;279;000;0000000;4210;"Nicht voranschlagswirksame Gebarung";"Diverse Vorschüsse an Fremde";5301396,63
2024;Niederösterreich;Rechnungsabschluss;Gemeinde;32135;"Tulln an der Donau";Finanzierungshaushalt;999;000;279;200;0000000;4110;"Nicht voranschlagswirksame Gebarung";"Kassenabschluss BÜS";156175,64
2024;Niederösterreich;Rechnungsabschluss;Gemeinde;32135;"Tulln an der Donau";Finanzierungshaushalt;999;000;279;200;0000000;4210;"Nicht voranschlagswirksame Gebarung";"Kassenabschluss BÜS";156244,69
2024;Niederösterreich;Rechnungsabschluss;Gemeinde;32135;"Tulln an der Donau";Finanzierungshaushalt;999;000;279;300;0000000;4110;"Nicht voranschlagswirksame Gebarung";Handverlage;67,04
2024;Niederösterreich;Rechnungsabschluss;Gemeinde;32135;"Tulln an der Donau";Finanzierungshaushalt;999;000;279;300;0000000;4210;"Nicht voranschlagswirksame Gebarung";Handverlage;2000,00
