gkz;jahr;haushaltskonto-hinweis;haushaltskonto-hinweis-name;haushaltskonto-ansatz;ansatzbezeichnung;haushaltskonto-post;kontenbezeichnung;soll-rj
32135;2018;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";670;Versicherungen;266,53
32135;2018;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";721;"Bezüge der gewählten Organe";471037,08
32135;2018;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";723;"Amtspauschalien und Repräsentationsausgaben";702,19
32135;2018;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";728;"Entgelte für sonstige Leistungen";26942,96
32135;2018;1;"ordentliche Ausgaben";000;"Gewählte Gemeindeorgane";760;"Pensionen und sonstige Ruhebezüge (einschließlich Dienstgeberbeiträge)";44609,88
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;042;Amtsausstattung;65,04
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;456;"Schreib-, Zeichen- und sonstige Büromittel";13880,55
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;457;Druckwerke;730,19
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;510;"Geldbezüge der Vertragsbediensteten der Verwaltung";232923,04
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;520;"Geldbezüge der Geldbezüge der ganzjährig beschäftigten Angestellten";3641,40
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;523;"Geldbezüge der nicht ganzjährig beschäftigter Arbeiter";500,00
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;560;Reisegebühren;267,95
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;565;Mehrleistungsvergütungen;59495,31
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;569;"Sonstige Nebengebühren";960,36
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";10318,60
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";48422,84
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;582;"Leistungen aus der Selbstträgerschaft (soweit gesondert ausgewiesen)";1884,00
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;617;"Instandhaltung von Fahrzeugen";1580,19
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;618;"Instandhaltung von sonstigen Anlagen";3686,47
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;631;Telekommunikationsdienste;855,50
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;670;Versicherungen;6121,90
32135;2018;1;"ordentliche Ausgaben";010;Zentralamt;728;"Entgelte für sonstige Leistungen";4064,58
32135;2018;1;"ordentliche Ausgaben";011;Personalamt;510;"Geldbezüge der Vertragsbediensteten der Verwaltung";89967,68
32135;2018;1;"ordentliche Ausgaben";011;Personalamt;560;Reisegebühren;126,86
32135;2018;1;"ordentliche Ausgaben";011;Personalamt;565;Mehrleistungsvergütungen;8973,69
32135;2018;1;"ordentliche Ausgaben";011;Personalamt;569;"Sonstige Nebengebühren";905,78
32135;2018;1;"ordentliche Ausgaben";011;Personalamt;580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";3888,49
32135;2018;1;"ordentliche Ausgaben";011;Personalamt;581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";18926,47
32135;2018;1;"ordentliche Ausgaben";011;Personalamt;582;"Leistungen aus der Selbstträgerschaft (soweit gesondert ausgewiesen)";836,17
32135;2018;1;"ordentliche Ausgaben";011;Personalamt;710;"Öffentliche Abgaben (Ausgaben), ohne Gebühren gemäß FAG";22720,00
32135;2018;1;"ordentliche Ausgaben";011;Personalamt;728;"Entgelte für sonstige Leistungen";2061,36
32135;2018;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";457;Druckwerke;35127,00
32135;2018;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";510;"Geldbezüge der Vertragsbediensteten der Verwaltung";50404,01
32135;2018;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";560;Reisegebühren;473,52
32135;2018;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";565;Mehrleistungsvergütungen;11449,98
32135;2018;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";569;"Sonstige Nebengebühren";166,31
32135;2018;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";2433,03
32135;2018;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";12310,42
32135;2018;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";582;"Leistungen aus der Selbstträgerschaft (soweit gesondert ausgewiesen)";586,42
32135;2018;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";630;Postdienste;7997,67
32135;2018;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";631;Telekommunikationsdienste;321,14
32135;2018;1;"ordentliche Ausgaben";015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit";728;"Entgelte für sonstige Leistungen";9074,87
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";042;Amtsausstattung;23159,56
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";456;"Schreib-, Zeichen- und sonstige Büromittel";5179,16
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";510;"Geldbezüge der Vertragsbediensteten der Verwaltung";105326,21
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";560;Reisegebühren;1041,73
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";565;Mehrleistungsvergütungen;24682,58
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";566;"Zuwendung aus Anlass von Dienstjubiläen";15549,24
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";569;"Sonstige Nebengebühren";4747,01
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";5874,63
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";27450,89
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";582;"Leistungen aus der Selbstträgerschaft (soweit gesondert ausgewiesen)";778,08
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";616;"Instandhaltung von Maschinen und maschinellen Anlagen";903,21
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";618;"Instandhaltung von sonstigen Anlagen";59494,86
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";631;Telekommunikationsdienste;7939,49
32135;2018;1;"ordentliche Ausgaben";016;"Elektronische Datenverarbeitung";728;"Entgelte für sonstige Leistungen";10433,65
32135;2018;1;"ordentliche Ausgaben";019;Repräsentation;723;"Amtspauschalien und Repräsentationsausgaben";18974,56
32135;2018;1;"ordentliche Ausgaben";022;Standesamt;510;"Geldbezüge der Vertragsbediensteten der Verwaltung";127138,35
32135;2018;1;"ordentliche Ausgaben";022;Standesamt;560;Reisegebühren;323,82
32135;2018;1;"ordentliche Ausgaben";022;Standesamt;565;Mehrleistungsvergütungen;5504,30
32135;2018;1;"ordentliche Ausgaben";022;Standesamt;569;"Sonstige Nebengebühren";337,60
32135;2018;1;"ordentliche Ausgaben";022;Standesamt;580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";5248,42
32135;2018;1;"ordentliche Ausgaben";022;Standesamt;581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";32012,16
32135;2018;1;"ordentliche Ausgaben";022;Standesamt;582;"Leistungen aus der Selbstträgerschaft (soweit gesondert ausgewiesen)";1088,05
32135;2018;1;"ordentliche Ausgaben";022;Standesamt;752;"Laufende Transferzahlungen an Gemeinden, Gemeindeverbände und -fonds";108965,23
32135;2018;1;"ordentliche Ausgaben";023;Einwohneramt;510;"Geldbezüge der Vertragsbediensteten der Verwaltung";57155,16
32135;2018;1;"ordentliche Ausgaben";023;Einwohneramt;560;Reisegebühren;24,21
32135;2018;1;"ordentliche Ausgaben";023;Einwohneramt;565;Mehrleistungsvergütungen;4188,07
32135;2018;1;"ordentliche Ausgaben";023;Einwohneramt;569;"Sonstige Nebengebühren";107,25
32135;2018;1;"ordentliche Ausgaben";023;Einwohneramt;580;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";2388,05
32135;2018;1;"ordentliche Ausgaben";023;Einwohneramt;581;"Sonstige Dienstgeberbeiträge zur sozialen Sicherheit";12182,60
